key,role,period,wins,matches
114,1,0-15,239,542
114,1,15-20,138,229
114,1,20-25,236,60
114,1,30-35,160,302
114,1,35-40,49,485
114,1,40+,77,603
114,5,0-15,3817,7440
114,5,15-20,4293,6250
114,5,20-25,1103,2231
114,5,30-35,2064,8533
114,5,35-40,3052,3891
114,5,40+,936,363
114,3,0-15,167,432
114,3,15-20,55,353
114,3,20-25,185,149
114,3,30-35,114,133
114,3,35-40,77,401
114,3,40+,117,14
114,2,0-15,45,179
114,2,15-20,160,458
114,2,20-25,186,45
114,2,30-35,191,414
114,2,35-40,67,399
114,2,40+,96,219
105,4,0-15,2174,1159
105,4,15-20,1184,4470
105,4,20-25,2160,3483
105,4,30-35,1440,4832
105,4,35-40,481,2503
105,4,40+,615,1314
105,1,0-15,320,1121
105,1,15-20,510,1604
105,1,20-25,660,1563
105,1,30-35,381,348
105,1,35-40,284,612
105,1,40+,90,61
105,5,0-15,116743,234833
105,5,15-20,114246,223429
105,5,20-25,76987,158918
105,5,30-35,24175,48876
105,5,35-40,64879,65498
105,5,40+,34006,7433
105,3,0-15,523,1144
105,3,15-20,360,844
105,3,20-25,505,1122
105,3,30-35,354,419
105,3,35-40,110,729
105,3,40+,189,310
105,2,0-15,727,1644
105,2,15-20,39,103
105,2,20-25,934,533
105,2,30-35,982,2143
105,2,35-40,591,757
105,2,40+,236,1232
3,4,0-15,683,1596
3,4,15-20,2066,5847
3,4,20-25,3159,4765
3,4,30-35,1601,6559
3,4,35-40,2913,3128
3,4,40+,843,1600
3,1,0-15,285,216
3,1,15-20,178,605
3,1,20-25,218,823
3,1,30-35,334,34
3,1,35-40,48,482
3,1,40+,137,835
3,5,0-15,45583,93474
3,5,15-20,63439,125895
3,5,20-25,55091,106816
3,5,30-35,15141,31162
3,5,35-40,27927,54251
3,5,40+,12914,25325
3,3,0-15,227,523
3,3,15-20,215,536
3,3,20-25,157,450
3,3,30-35,67,185
3,3,35-40,135,256
3,3,40+,45,66
3,2,0-15,11244,24967
3,2,15-20,3632,7990
3,2,20-25,17265,35795
3,2,30-35,16168,32248
3,2,35-40,8909,17683
3,2,40+,547,1138
41,4,0-15,143348,298603
41,4,15-20,29982,63106
41,4,20-25,74725,154594
41,4,30-35,95569,281253
41,4,35-40,4595,197924
41,4,40+,135332,9914
41,1,0-15,170,402
41,1,15-20,141,492
41,1,20-25,115,429
41,1,30-35,80,195
41,1,35-40,23,59
41,1,40+,66,291
41,5,0-15,47069,98383
41,5,15-20,47271,96335
41,5,20-25,28268,59927
41,5,30-35,7824,16511
41,5,35-40,14155,29325
41,5,40+,26859,54130
41,3,0-15,307,1016
41,3,15-20,449,57
41,3,20-25,392,231
41,3,30-35,207,1020
41,3,35-40,257,791
41,3,40+,61,638
41,2,0-15,251,1101
41,2,15-20,373,809
41,2,20-25,373,1007
41,2,30-35,213,67
41,2,35-40,14,597
41,2,40+,86,305
86,4,0-15,230849,448064
86,4,15-20,171875,328045
86,4,20-25,50636,14921
86,4,30-35,251170,479329
86,4,35-40,126387,100556
86,4,40+,7234,133261
86,1,0-15,5265,13662
86,1,15-20,7802,843
86,1,20-25,1644,18834
86,1,30-35,8536,4854
86,1,35-40,5479,18735
86,1,40+,3205,11413
86,5,0-15,21475,39311
86,5,15-20,645,17672
86,5,20-25,15470,34661
86,5,30-35,4752,1359
86,5,35-40,18385,28643
86,5,40+,9170,9322
86,3,0-15,532,1480
86,3,15-20,844,1825
86,3,20-25,771,1807
86,3,30-35,172,616
86,3,35-40,284,534
86,3,40+,463,933
86,2,0-15,631,650
