key,role,objective,secured,wins,matches
12,3,inhibitor1,True,28001,328
12,3,inhibitor1,False,4897,751
12,3,dragonSoul,True,8500,99
12,3,dragonSoul,False,1199,157
12,3,airSoul,True,1600,17
12,3,airSoul,False,200,27
12,3,waterSoul,True,1600,20
12,3,waterSoul,False,300,36
12,3,fireSoul,True,1400,19
12,3,fireSoul,False,300,32
12,3,earthSoul,True,1800,21
12,3,earthSoul,False,300,28
12,3,hextechSoul,True,2100,22
12,3,hextechSoul,False,100,34
12,2,blue,True,15217413,303559
12,2,blue,False,15085266,313623
12,2,rift1,True,18080868,302710
12,2,rift1,False,12044327,310661
12,2,rift2,True,15832301,236303
12,2,rift2,False,7966317,246788
12,2,riftDouble,True,10315987,145480
12,2,riftDouble,False,4369739,152895
12,2,eliteDouble,True,11535742,152569
12,2,eliteDouble,False,3774655,161379
12,2,dragon1,True,19914214,302326
12,2,dragon1,False,10269212,312229
12,2,baron1,True,17170196,208934
12,2,baron1,False,3824217,209661
12,2,blood1,True,17096933,292856
12,2,blood1,False,13075229,321733
12,2,tower1,True,20815715,293014
12,2,tower1,False,9387466,322040
12,2,inhibitor1,True,23796893,261792
12,2,inhibitor1,False,2637152,273280
12,2,dragonSoul,True,6557335,72289
12,2,dragonSoul,False,693218,72361
12,2,airSoul,True,1376640,14910
12,2,airSoul,False,131143,14852
12,2,waterSoul,True,1297192,14359
12,2,waterSoul,False,144269,14144
12,2,fireSoul,True,1264804,14016
12,2,fireSoul,False,135486,14187
12,2,earthSoul,True,1302596,14446
12,2,earthSoul,False,142895,14596
12,2,hextechSoul,True,1315752,14558
12,2,hextechSoul,False,139404,14582
32,4,blue,True,507681,11063
32,4,blue,False,474935,10971
32,4,rift1,True,562220,9942
32,4,rift1,False,414458,11879
32,4,rift2,True,479776,7520
32,4,rift2,False,282086,9353
32,4,riftDouble,True,306312,4496
