key,role,path,rune_id,wins,matches
103,1,2,8401,0,1
103,1,1,8429,2,10
103,1,2,8429,6,11
103,1,1,8444,11,27
103,1,2,8444,3,5
103,1,1,8473,1,2
103,1,2,8473,3,16
103,1,1,8451,11,28
103,1,2,8451,8,15
103,1,1,8453,2,8
103,1,2,8453,3,10
103,1,1,8242,1,3
103,1,2,8242,1,8
103,1,1,8351,7,21
103,1,1,8360,2,3
103,1,1,8369,15,44
103,1,1,8306,2,6
103,1,2,8306,0,0
103,1,1,8304,15,35
103,1,2,8304,17,56
103,1,1,8313,7,27
103,1,2,8313,2,13
103,1,1,8321,15,49
103,1,2,8321,6,28
103,1,1,8316,4,6
103,1,2,8316,4,16
103,1,1,8345,5,13
103,1,2,8345,22,66
103,1,1,8347,19,61
103,1,2,8347,26,93
103,1,1,8410,3,5
103,1,2,8410,4,7
103,1,1,8352,2,2
103,1,2,8352,17,49
103,1,1,5008,62,193
103,1,1,5005,120,404
103,1,1,5007,28,92
103,1,1,5008f,188,619
103,1,1,5002f,18,55
103,1,1,5003f,4,15
103,1,1,5001,49,149
103,1,1,5002,102,356
103,1,1,5003,59,184
103,5,1,8005,583,1414
103,5,1,8008,1032,2498
103,5,1,8021,265,569
103,5,1,8010,1572,3517
103,5,1,9101,70,167
103,5,2,9101,123,258
103,5,1,9111,2078,4844
103,5,2,9111,8885,18744
103,5,1,8009,1302,2987
103,5,2,8009,12663,26109
103,5,1,9104,1804,4245
103,5,2,9104,1102,2349
103,5,1,9105,1073,2364
103,5,2,9105,1429,3003
103,5,1,9103,572,1389
103,5,2,9103,514,1113
103,5,1,8014,1868,4365
103,5,2,8014,18276,37995
103,5,1,8017,373,849
103,5,2,8017,1331,2844
103,5,1,8299,1211,2784
103,5,2,8299,700,1545
103,5,1,8112,775358,1582363
103,5,1,8124,229,529
103,5,1,8128,6463,13190
103,5,1,9923,451,995
103,5,1,8126,97797,197172
103,5,2,8126,4251,8874
103,5,1,8139,590149,1209321
103,5,2,8139,7350,14909
103,5,1,8143,93386,190584
103,5,2,8143,2242,4729
103,5,1,8136,34588,71169
103,5,2,8136,497,962
103,5,1,8120,11309,22847
103,5,2,8120,255,539
103,5,1,8138,736500,1503061
103,5,2,8138,7412,16008
103,5,1,8135,101603,206930
103,5,2,8135,2206,4635
103,5,1,8134,8416,17175
103,5,2,8134,422,957
103,5,1,8105,16440,33619
103,5,2,8105,5594,12160
103,5,1,8106,654944,1339353
103,5,2,8106,10760,21915
103,5,1,8214,6091,12584
103,5,1,8229,17883,38130
103,5,1,8230,1370,2991
103,5,1,8224,1600,3300
103,5,2,8224,9024,17904
103,5,1,8226,22482,47733
103,5,2,8226,403914,819298
103,5,1,8275,1256,2672
103,5,2,8275,4283,8583
103,5,1,8210,19121,40255
103,5,2,8210,359379,728963
103,5,1,8234,1865,4082
103,5,2,8234,6505,13036
103,5,1,8233,4384,9368
103,5,2,8233,23396,46792
103,5,1,8237,12661,26542
103,5,2,8237,99714,200229
103,5,1,8232,551,1222
103,5,2,8232,2531,5295
103,5,1,8236,12140,25941
103,5,2,8236,80584,162140
103,5,1,8437,303,716
103,5,1,8439,174,399
103,5,1,8465,56,103
103,5,1,8446,284,677
103,5,2,8446,2123,4298
103,5,1,8463,167,349
103,5,2,8463,252,520
103,5,1,8401,82,192
103,5,2,8401,137,307
