key,role,ban_rate,pick_rate,wins,matches
498,5,0.37,0.04,3818,8285
498,3,0.37,2.85,312337,646660
498,2,0.37,0.01,1034,3301
101,4,6.86,0.02,2224,4811
101,1,6.86,0.0,81,310
101,5,6.86,2.24,258533,507924
101,3,6.86,0.14,14966,31349
101,2,6.86,5.0,588535,1132669
5,4,0.38,0.2,21193,44729
5,1,0.38,2.01,218024,456021
5,5,0.38,0.13,14314,28610
5,3,0.38,0.01,1079,2416
5,2,0.38,0.02,1997,4749
157,4,25.71,2.16,231345,489309
157,1,25.71,0.06,4953,13565
157,5,25.71,12.17,1360829,2756946
157,3,25.71,1.36,150019,307985
157,2,25.71,0.05,4053,11576
777,4,16.09,4.11,448206,930273
777,1,16.09,0.08,6931,17821
777,5,16.09,10.68,1206156,2418600
777,3,16.09,0.14,14017,30841
777,2,16.09,0.04,3314,9614
83,4,5.05,4.55,534157,1029800
83,1,5.05,0.05,5251,11206
83,5,5.05,0.18,21780,40552
83,3,5.05,0.01,1464,3168
83,2,5.05,0.02,1825,4399
350,4,20.18,0.03,1879,7249
350,1,20.18,0.02,463,3829
350,5,20.18,0.03,1788,7702
350,3,20.18,0.02,786,4042
350,2,20.18,9.65,1005286,2185405
154,4,2.0,0.53,63390,120720
154,1,2.0,3.95,463076,895525
154,5,2.0,0.18,22034,40105
154,3,2.0,0.01,689,1522
154,2,2.0,0.39,45990,89336
